,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
13,330,30255,97561,478.45288753799394,61166.18541033434,117761.82978723405,157411,20123675,38743642,478.45288753799394,61166.18541033434,117761.82978723405,474.5164836674028,63020.280242932786,117928.74726750921,239394.47416413375,32673404.66869301,59393568.76899696,157411,20123675,38743642,156115.9231265755,20733672.199924886,38798557.85101053,78760782,10749550136,19540484125
14,95,2287,20232,261.8829787234043,25770.340425531915,72057.3085106383,24617,2422412,6773387,261.8829787234043,25770.340425531915,72057.3085106383,400.76888954610774,51232.29481069171,101014.18274741751,123171.5,17006098.73404255,30254654.127659574,24617,2422412,6773387,37672.275617334126,4815835.712205021,9495333.178257246,11578121,1598573281,2843937488
15,83,2293,22827,329.28915662650604,37487.55421686747,86531.7108433735,27331,3111467,7182132,329.28915662650604,37487.55421686747,86531.7108433735,427.6315608253006,56621.61350635867,107441.0529144258,161004.578313253,22748471.8313253,39666347.12048193,27331,3111467,7182132,35493.41954849995,4699593.921027769,8917607.391897341,13363380,1888123162,3292306811
16,74,2081,18518,308.6575342465753,34574.67123287671,80348.19178082192,22532,2523951,5865418,308.6575342465753,34574.67123287671,80348.19178082192,417.36570020645917,54825.97690195736,104741.79920017804,149038.98630136985,21000075.698630136,36599896.36986301,22532,2523951,5865418,30467.696115071518,4002296.313842887,7646151.3416129965,10879846,1533005526,2671792435
17,106,2900,22681,267.688679245283,25693.462264150945,74390.64150943396,28375,2723507,7885408,267.688679245283,25693.462264150945,74390.64150943396,405.63757373837416,51860.624979376036,102431.20820328646,125352.85849056604,17190714.160377357,30913688.301886793,28375,2723507,7885408,42997.58281626766,5497226.24781386,10857708.069548365,13287403,1822215701,3276850960
18,27,266,9161,370.7692307692308,46509.42307692308,96619.15384615384,9640,1209245,2512098,370.7692307692308,46509.42307692308,96619.15384615384,453.4359288547969,61862.75832592619,112106.65864010662,189054.3076923077,27500359.346153848,46171739.884615384,9640,1209245,2512098,11789.334150224719,1608431.716474081,2914773.124642772,4915412,715009343,1200465237
19,472,45142,138901,484.59023354564755,68772.66878980891,122081.10615711253,228242,32391927,57500201,484.59023354564755,68772.66878980891,122081.10615711253,498.32457188889583,72079.36420679896,123454.89685937673,258989.31210191082,38445795.37579618,63798997.48195329,228242,32391927,57500201,234710.87335966993,33949380.54140231,58147256.42076644,121983966,18107969622,30049327814
20,290,14229,90311,408.961937716263,52421.94809688581,106135.32179930796,118190,15149943,30673108,408.961937716263,52421.94809688581,106135.32179930796,458.53392217567426,63447.487693333554,114379.71815068145,210431.13494809688,30427871.37370242,51996039.07958478,118190,15149943,30673108,132516.30350876987,18336323.943373397,33055738.545546938,60814598,8793654827,15026855294
21,292,22394,97163,485.8006872852234,68816.26804123711,119787.90378006872,141368,20025534,34858280,485.8006872852234,68816.26804123711,119787.90378006872,499.27193798685266,71902.0136524161,123104.81703148803,256802.34020618556,37772249.7766323,63094763.295532644,141368,20025534,34858280,145288.13395417412,20923485.972853087,35823501.756163016,74729481,10991724685,18360576119
22,577,56770,171642,493.10590277777777,66853.23263888889,120423.34027777778,284029,38507462,69363844,493.10590277777777,66853.23263888889,120423.34027777778,488.4690505826724,67850.57278973825,119446.835600669,253436.88888888888,36223418.42361111,62278089.760416664,284029,38507462,69363844,281358.1731356193,39081929.926889226,68801377.30598535,145979648,20864689012,35872179702
