uid,name,gender,ethnicity,rank_2015,age,party_membership_age,rank_2005,edu_2005,gdpidx,gdpidx_1st,gdpidx_2nd,gdpidx_3rd,f2gdpidx,logltavg,gdpidx_rl,gdpidx_1st_rl,gdpidx_2nd_rl,gdpidx_3rd_rl,f2gdpidx_rl,logltavg_rl
1255,张志南,1,1,6,44.7835616438356,27.191780821917803,5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1256,叶双瑜,1,1,6,49.7041095890411,30.3616438356164,6,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1257,陈营官,1,1,6,61.54520547945209,34.1972602739726,6,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1258,陈辞,1,1,6,50.6219178082192,28.1068493150685,5,5,12.181818181818182,7.854545454545454,13.00909090909091,12.754545454545454,12.333333333333334,2.2520899230783638,-0.502985876952214,0.30333921033909983,-1.434260387735547,-0.41747371342585926,-0.6065079377562829,-0.034663795341741195
1259,王为璐,1,1,6,56.8739726027397,35.7780821917808,6,4,12.399999999999999,7.949999999999996,14,12.299999999999997,11.300003051757812,2.037790060043335,0.25024950367009124,-0.9290813470410835,-0.6901509766601976,1.2144823827340505,-2.4937425233070396,0.01853633881102478
1260,王富玉,1,0,7,52.9561643835616,31.1095890410959,6,6,12.199999999999998,10.140000000000004,16.08,10.580000000000002,12.399998982747396,1.931786060333252,0.3367957577482179,-0.09724442202182881,0.02806395045423047,0.241079289846761,-0.10636362112576556,0.004427816872514251
1261,倪强,1,1,5,39.2,14.1835616438356,5,5,9.900000000000006,6.299999999999997,8.900000000000006,10.5,NaN,2.6848652362823486,1.3781267602586407,0.47581048291244565,1.760655203798808,1.3965047838753255,NaN,-0.032149665089662355
1262,冀文林,1,1,6,39.0328767123288,10.928767123287699,5,5,10.75,6.050000000000004,11.5,11.100000000000001,9.900001525878906,2.6501858234405518,-0.048531928616558556,-0.10270785025045132,-0.3117912055810069,0.7798455795878279,0.588296540334758,-0.015501921963823403
1263,徐唐先,1,1,5,51.2904109589041,18.6,4,6,12.974999999999998,8.024999999999999,10.525000000000002,14.7,12.69999885559082,2.233327239751816,-1.4203926224331602,0.9632681981372505,-3.721752083117329,-2.0079325075568164,-0.042929256865635465,-0.06242869061838891
1264,陈成,1,1,6,52.7890410958904,31.857534246575298,6,5,12.949999999999996,7.950000000000003,18.549999999999997,10.899999999999999,12.400001525878906,1.9662780165672302,0.8164180335537045,-0.5357132164258467,0.32331338596901316,0.9728207629881416,0.44383295303232584,0.05275307744516909
1265,姜斯宪,1,1,6,50.8712328767123,29.358904109588998,6,5,11.166666666666663,6.6333333333333355,11.766666666666666,11.966666666666663,10.099998474121094,2.7818151315053306,-0.4270209676751778,-0.09013159413718726,-0.3790242642122528,-0.9853986476836246,-0.588296540334725,0.021051169672435876
1266,于迅,1,1,7,52.9561643835616,31.4383561643836,6,5,12.775000000000002,10.45,18.074999999999996,12.125,15.474998474121094,1.960155427455902,-0.899401945073488,0.4047830013879897,-1.797340630074943,-0.8160902457019844,0.20351927789737967,-0.04296977402917283
1267,王勇,1,1,5,48.372602739726,29.0246575342466,5,5,14.399999999999999,6.916666666666667,14.633333333333333,16.93333333333333,13.350000381469727,2.641811728477478,0.18814863755534808,-0.5347591754232562,0.6036475221354511,0.4086365541896001,-0.39259049993094697,0.030272173831790886
1268,陆志远,1,1,5,45.7013698630137,20.6821917808219,5,6,16.233333333333334,9.866666666666669,24.166666666666668,16.03333333333333,18,2.0514389673868814,0.9237055846782768,0.31441672388703834,3.8361174534467675,0.06491666552359125,2.047089177821902,0.03138751695935603
1269,汪啸风,1,1,7,60.7945205479452,31.9424657534247,7,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1270,卫留成,1,1,7,58.9616438356164,31.6082191780822,7,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1271,罗保铭,1,1,7,52.7890410958904,33.9452054794521,6,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1272,刘琦,1,1,6,49.4520547945205,23.0219178082192,6,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1273,李秀领,1,1,6,42.7835616438356,21.4328767123288,5,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1274,周文彰,1,1,6,51.9561643835616,17.7671232876712,6,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1275,许俊,1,1,6,47.5342465753425,28.6054794520548,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1276,蔡长松,1,1,6,63.630136986301395,39.6958904109589,6,4,9.84666666666667,10,13.950000000000003,8.950000000000003,11.833335876464844,1.885507345199585,0.36933829843763977,-0.44477069269231273,3.7474794352204404,0.3602932181186225,0.8504539398951116,0.04227608491770736
1277,钟文,1,1,7,59.380821917808206,34.5260273972603,6,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1278,肖若海,1,1,6,51.2082191780822,31.5232876712329,6,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1279,吴昌元,1,1,6,58.7945205479452,34.9452054794521,6,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
