uid,gender,ethnicity,rank_2015,age,party_membership_age,rank_2005,edu_2005
458,1,1,6,49.5369863013699,25.271232876712297,5,6
459,1,1,7,54.378082191780805,31.690410958904103,6,5
460,1,1,7,48.6191780821918,29.9424657534247,6,6
461,1,1,6,43.6986301369863,21.9369863013699,5,5
462,1,1,6,45.786301369863,20.1013698630137,6,6
463,1,1,6,47.4493150684931,26.854794520547898,6,6
464,1,1,6,44.6164383561644,23.0219178082192,5,5
465,1,1,6,50.7041095890411,20.4301369863014,5,6
466,0,1,6,46.7013698630137,19.6,4,5
467,1,1,7,68.8,25.1041095890411,7,4
468,1,1,7,58.709589041095896,43.2849315068493,7,4
469,1,1,7,56.378082191780805,30.857534246575298,7,6
470,1,1,6,62.712328767123296,40.2,6,5
471,1,1,6,61.1287671232877,26.9397260273973,6,3
472,1,1,6,57.7945205479452,39.613698630137,6,5
473,1,1,6,51.8712328767123,31.6082191780822,6,5
474,1,1,7,59.213698630137,25.6054794520548,6,5
475,1,1,6,50.1232876712329,28.4356164383562,6,5
476,1,1,6,50.7041095890411,30.857534246575298,6,5
477,1,1,5,42.1178082191781,20.0191780821918,5,6
478,1,1,6,50.3753424657534,31.027397260274,6,5
480,1,1,6,53.6246575342466,32.6082191780822,5,4
481,1,1,6,47.8684931506849,19.2684931506849,5,5
482,1,1,6,46.1205479452055,19.2684931506849,5,6
483,1,1,5,47.2054794520548,19.8493150684932,5,6
485,1,1,5,47.7013698630137,19.6,4,5
486,1,1,6,59.54246575342469,30.027397260274,6,4
487,1,1,5,NA,40.1150684931507,5,4
488,1,1,6,50.8712328767123,22.356164383561598,5,4
489,1,1,5,52.041095890411,31.1095890410959,5,4
490,1,1,5,49.372602739726,30.1095890410959,5,5
491,1,1,5,61.1287671232877,39.2821917808219,5,4
493,1,1,6,50.2904109589041,30.3616438356164,5,6
494,1,1,5,45.6191780821918,20.1013698630137,4,5
496,1,1,5,60.213698630137,35.76356556907485,5,4
497,1,1,5,51.1232876712329,27.391158832952108,5,4
500,1,1,6,46.2876712328767,19.6821917808219,5,6
502,1,1,6,51.6219178082192,27.850404772064323,6,5
504,1,1,5,58.213698630137,31.194520547945203,5,3
505,1,1,5,55.7917808219178,20.2684931506849,5,4
506,1,0,6,47.2054794520548,23.782797882784664,5,4
507,1,1,5,49.1205479452055,31.1095890410959,5,4
508,1,1,5,49.9561643835616,26.31622053590916,5,4
509,1,1,5,42.6986301369863,19.1013698630137,4,5
510,1,1,5,63.1315068493151,22.1041095890411,5,4
511,1,1,5,58.7945205479452,32.1095890410959,5,4
512,1,1,6,49.6219178082192,30.276712328767097,5,5
513,1,1,6,41.4465753424658,18.47875961897215,5,6
514,0,1,5,40.1150684931507,20.0191780821918,4,5
515,0,1,5,40.8630136986301,17.6,2,5
516,1,1,6,48.4493150684931,20.8493150684932,5,5
517,1,1,5,60.0821917808219,35.64244576095731,5,4
518,1,1,5,46.372602739726,22.1041095890411,5,4
520,1,1,6,48.5342465753425,28.854794520547898,5,6
